x;y;u
-0.882;-0.211111;0.00160158
-0.882;-0.2;0.00331074
-0.882;-0.188889;0.00494086
-0.882;-0.177778;0.00647391
-0.882;-0.166667;0.00792666
-0.882;-0.155556;0.00928187
-0.882;-0.144444;0.0105479
-0.882;-0.133333;0.0117232
-0.882;-0.122222;0.0128083
-0.882;-0.111111;0.0138004
-0.882;-0.1;0.0146989
-0.882;-0.0888889;0.0155043
-0.882;-0.0777778;0.0162159
-0.882;-0.0666667;0.0168334
-0.882;-0.0555556;0.0173563
-0.882;-0.0444444;0.0177846
-0.882;-0.0333333;0.0181179
-0.882;-0.0222222;0.0183562
-0.882;-0.0111111;0.0184992
-0.882;0;0.0185468
-0.882;0.0111111;0.0184992
-0.882;0.0222222;0.0183561
-0.882;0.0333333;0.0181179
-0.882;0.0444444;0.0177846
-0.882;0.0555556;0.0173564
-0.882;0.0666667;0.0168327
-0.882;0.0777778;0.0162159
-0.882;0.0888889;0.0155043
-0.882;0.1;0.014699
-0.882;0.111111;0.0138002
-0.882;0.122222;0.0128085
-0.882;0.133333;0.0117243
-0.882;0.144444;0.0105479
-0.882;0.155556;0.00928201
-0.882;0.166667;0.0079252
-0.882;0.177778;0.00647837
-0.882;0.188889;0.00494081
-0.882;0.2;0.00331073
-0.882;0.211111;0.00160154
-0.882;0.222222;5.06632e-33
-0.882;0.233333;7.53352e-33
-0.882;0.244444;9.14879e-33
-0.882;0.255556;9.06467e-33
-0.882;0.266667;7.22013e-33
-0.882;0.277778;5.38746e-33
-0.882;0.288889;8.19917e-33
-0.882;0.3;7.48096e-19
-0.882;0.311111;8.30207e-33
-0.882;0.322222;5.48802e-33
-0.882;0.333333;6.99809e-33
-0.882;0.344444;8.86344e-33
-0.882;0.355556;8.69891e-33
-0.882;0.366667;6.43848e-33
-0.882;0.377778;6.00383e-33
-0.882;0.388889;8.47942e-33
-0.882;0.4;8.72502e-33
-0.882;0.411111;6.67778e-33
-0.882;0.422222;5.56675e-33
-0.882;0.433333;8.28446e-33
-0.882;0.444444;8.55137e-33
-0.882;0.455556;6.27435e-33
-0.882;0.466667;5.86333e-33
-0.882;0.477778;4.30046e-33
-0.882;0.488889;4.27329e-33
-0.882;0.5;4.27329e-33
-0.882;0.511111;4.24563e-33
-0.882;0.522222;8.44342e-33
-0.882;0.533333;4.21751e-33
-0.882;0.544444;4.51722e-33
-0.882;0.555556;7.86497e-33
-0.882;0.566667;7.89439e-33
-0.882;0.577778;4.45876e-33
-0.882;0.588889;6.92307e-33
-0.882;0.6;8.11034e-33
-0.882;0.611111;5.51846e-33
-0.882;0.622222;6.0549e-33
-0.882;0.633333;8.03442e-33
-0.882;0.644444;5.89113e-33
-0.882;0.655556;5.56951e-33
-0.882;0.666667;7.90772e-33
-0.882;0.677778;3.97661e-33
-0.882;0.688889;5.62832e-33
-0.882;0.7;7.78123e-33
-0.882;0.711111;4.98053e-33
-0.882;0.722222;3.88708e-33
-0.882;0.733333;7.50657e-33
-0.882;0.744444;3.85571e-33
-0.882;0.755556;3.82433e-33
-0.882;0.766667;3.82433e-33
-0.882;0.777778;3.89726e-33
-0.882;0.788889;7.45376e-33
-0.882;0.8;4.67636e-33
-0.882;0.811111;6.15586e-33
-0.882;0.822222;6.81231e-33
-0.882;0.833333;3.70055e-33
-0.882;0.844444;3.66775e-33
-0.882;0.855556;3.87156e-33
-0.882;0.866667;6.47394e-33
-0.882;0.877778;5.8703e-33
-0.882;0.888889;4.81162e-33
-0.882;0.9;6.81702e-33
-0.882;0.911111;3.5104e-33
-0.882;0.922222;7.0334e-33
-0.882;0.933333;3.47943e-33
-0.882;0.944444;6.80075e-33
-0.882;0.955556;3.47943e-33
-0.882;0.966667;3.47943e-33
-0.882;0.977778;4.46626e-33
-0.882;0.988889;5.89039e-33
-0.882;1;4.89422e-33
-0.882;1.01111;3.3878e-33
-0.882;1.02222;3.35754e-33
-0.882;1.03333;3.35754e-33
-0.882;1.04444;3.32748e-33
-0.882;1.05556;3.32748e-33
-0.882;1.06667;4.42991e-33
-0.882;1.07778;5.75586e-33
-0.882;1.08889;3.60476e-33
-0.882;1.1;6.12451e-33
-0.873;-1.11111;6.41614e-33
-0.873;-1.1;3.23933e-33
-0.873;-1.08889;6.54916e-33
-0.873;-1.07778;3.26848e-33
-0.873;-1.06667;6.5393e-33
-0.873;-1.05556;3.29797e-33
-0.873;-1.04444;3.32764e-33
-0.873;-1.03333;3.32764e-33
-0.873;-1.02222;6.5759e-33
-0.873;-1.01111;3.3576e-33
-0.873;-1;6.69836e-33
-0.873;-0.988889;3.3878e-33
-0.873;-0.977778;6.83713e-33
-0.873;-0.966667;3.41817e-33
-0.873;-0.955556;6.87987e-33
-0.873;-0.944444;3.4488e-33
-0.873;-0.933333;6.6613e-33
-0.873;-0.922222;3.51039e-33
-0.873;-0.911111;5.96586e-33
-0.873;-0.9;6.0191e-33
-0.873;-0.888889;4.53213e-33
-0.873;-0.877778;6.99172e-33
-0.873;-0.866667;3.57271e-33
-0.873;-0.855556;7.12379e-33
-0.873;-0.844444;4.70716e-33
-0.873;-0.833333;6.03783e-33
